date,open,high,low,close,volume
2025-07-24,131.24,133.4,128.5,132.32,15354209
2025-07-25,131.9,132.2,130.0,130.87,13837203
2025-07-28,130.99,132.28,125.5,126.15,14586629
2025-07-29,126.0,132.6,125.2,131.79,14235397
2025-07-30,132.5,134.4,130.5,133.2,8706302
2025-07-31,130.5,140.0,130.5,138.13,22973671
2025-08-01,139.45,143.0,138.3,141.09,17161028
2025-08-04,142.0,143.8,139.33,143.15,12376671
2025-08-05,143.2,145.17,135.88,136.36,14609854
2025-08-06,137.21,138.7,133.84,135.72,9114702
2025-08-07,135.5,137.5,133.38,137.02,7948769
2025-08-08,137.62,137.83,134.3,134.69,5113505
2025-08-11,135.19,136.75,132.5,133.31,5296076
2025-08-12,136.0,138.49,133.46,134.0,18891747
2025-08-13,136.41,139.2,134.3,135.06,11063892
2025-08-14,136.15,138.99,134.02,134.51,9601803
2025-08-18,137.99,141.99,136.57,139.63,13397837
2025-08-19,140.0,156.9,139.55,154.47,61004747
2025-08-20,156.0,156.78,146.2,148.27,25525612
2025-08-21,149.1,150.0,143.9,144.73,7910762
2025-08-22,144.75,149.94,142.62,146.58,13049838
2025-08-25,146.8,151.4,141.44,142.47,13404652
2025-08-26,142.44,144.34,139.22,141.39,17584532
2025-08-28,140.15,142.25,138.61,140.11,8761871
2025-08-29,140.93,142.8,139.17,139.58,5792910
2025-09-01,140.0,141.5,136.21,137.6,7365290
2025-09-02,138.75,140.79,136.2,136.77,6683290
2025-09-03,137.5,141.5,135.16,140.65,8570446
2025-09-04,143.25,145.09,137.1,137.85,8901309
2025-09-05,138.65,140.0,135.61,136.62,5532345
2025-09-08,137.0,143.7,136.54,142.79,8009384
2025-09-09,142.9,142.95,139.63,141.66,6163392
2025-09-10,142.3,146.1,140.01,141.7,12803237
2025-09-11,142.05,142.95,139.5,139.79,4661931
2025-09-12,140.3,145.3,139.81,144.27,11863133
2025-09-15,145.5,149.4,143.21,148.3,13194088
2025-09-16,148.84,150.19,144.57,144.93,7013483
2025-09-17,145.9,155.75,145.9,154.38,38571196
2025-09-18,154.95,156.91,152.45,154.38,14273079
2025-09-19,153.71,159.9,153.17,157.0,12555279
2025-09-22,156.7,158.1,152.25,153.99,5688279
2025-09-23,154.1,164.5,153.77,159.87,28617373
2025-09-24,160.5,163.4,159.83,161.5,9962052
2025-09-25,162.0,162.5,157.25,160.71,7203504
2025-09-26,159.1,159.64,155.61,157.48,13003984
2025-09-29,157.65,161.0,154.49,159.18,15027438
2025-09-30,159.2,160.0,155.89,157.47,4241117
2025-10-01,157.4,161.0,156.8,159.1,6627496
2025-10-03,159.48,164.45,158.46,163.02,11953827
2025-10-06,163.47,164.4,160.45,161.33,6450140
2025-10-07,161.9,163.07,160.53,161.32,3188548
2025-10-08,161.2,161.45,157.1,159.79,6230089
2025-10-09,160.0,160.3,155.21,156.86,3607568
2025-10-10,156.86,158.48,154.7,155.24,3701642
2025-10-13,153.85,154.7,150.3,151.67,5684659
2025-10-14,151.5,153.18,147.54,148.58,4571474
2025-10-15,148.62,152.18,148.55,150.85,3842168
2025-10-16,151.29,153.73,150.5,150.88,3601262
2025-10-17,150.98,152.2,148.19,149.83,2140774
2025-10-20,149.8,151.8,148.21,150.14,2260754
2025-10-21,150.97,152.8,150.5,151.08,1068892
2025-10-23,152.85,155.9,150.77,154.28,6897355
2025-10-24,154.4,156.59,152.51,152.78,2295515
2025-10-27,152.5,153.2,150.01,150.42,1979022
2025-10-28,150.42,151.3,148.75,149.07,1808207
2025-10-29,149.5,150.94,148.5,150.35,2272491
2025-10-30,150.44,153.42,150.31,150.85,2468539
2025-10-31,150.9,152.47,149.6,150.57,1939085
2025-11-03,150.75,151.48,143.75,145.11,4814143
2025-11-04,145.95,147.0,142.59,145.27,8315810
2025-11-06,145.95,150.5,145.86,148.71,5267702
2025-11-07,148.2,150.14,145.95,149.76,4073475
2025-11-10,150.35,152.33,149.55,151.36,4395411
2025-11-11,152.1,152.3,148.51,151.02,3026859
2025-11-12,156.2,158.4,153.03,154.56,14062228
2025-11-13,155.9,168.5,155.25,163.88,34014181
2025-11-14,163.0,166.8,162.62,164.32,4806588
2025-11-17,165.95,166.88,160.5,161.33,4520937
2025-11-18,161.33,163.0,158.61,160.9,3979891
2025-11-19,160.5,168.4,158.51,164.76,13260149
2025-11-20,165.1,165.63,162.51,164.01,3491804
2025-11-21,163.89,166.55,160.59,161.24,4964283
2025-11-24,161.64,161.98,156.0,159.34,4127035
2025-11-25,159.42,160.45,156.8,157.92,2803845
2025-11-26,158.36,161.69,158.11,158.93,2765052
2025-11-27,159.5,168.88,159.5,167.65,12562237
2025-11-28,169.7,172.68,166.21,167.59,19268231
2025-12-01,168.0,168.13,163.51,164.62,3675000
2025-12-02,163.81,171.5,163.73,169.86,7566221
2025-12-03,170.0,170.0,166.26,166.9,3779856
2025-12-04,166.2,166.2,162.25,163.27,3860186
2025-12-05,163.0,164.1,158.07,160.97,5269238
2025-12-08,160.9,163.2,154.21,160.99,10080955
2025-12-09,159.0,160.22,156.06,158.54,8508970
2025-12-10,159.1,161.5,155.77,156.89,7272635
2025-12-11,156.5,161.56,154.98,159.72,5761003
2025-12-12,160.0,160.99,158.73,159.9,2199426
2025-12-15,158.85,162.9,158.44,161.25,3467953
2025-12-16,161.4,161.73,157.05,157.7,2856348
2025-12-17,157.5,159.45,155.7,157.5,3110944
2025-12-18,156.5,158.51,155.48,155.98,2461234
2025-12-19,158.0,164.99,158.0,162.3,12552449
2025-12-22,162.0,163.0,157.8,158.36,13323232
2025-12-23,162.05,179.9,162.05,168.23,101578148
2025-12-24,170.99,177.28,168.0,172.83,39732761
2025-12-26,173.8,183.44,171.69,179.39,30722730
2025-12-29,180.0,185.5,176.1,182.85,14355410
2025-12-30,182.3,183.78,181.05,181.74,6442044
2025-12-31,182.1,186.4,181.11,185.34,5561060
2026-01-01,185.21,185.65,182.8,184.07,2288925
2026-01-02,184.0,190.1,183.61,185.05,5756635
2026-01-05,186.0,186.5,182.0,184.66,5224455
2026-01-06,184.99,189.8,182.17,183.21,7857921
2026-01-07,182.81,184.75,180.0,183.53,3510797
2026-01-08,183.7,185.67,176.18,177.69,4936838
2026-01-09,176.0,178.65,173.1,174.1,6413527
2026-01-12,174.1,179.98,170.75,178.9,7002760
2026-01-13,179.77,180.31,174.8,175.73,3328275
2026-01-14,175.0,176.56,172.6,173.0,3252570
2026-01-16,174.15,175.0,169.1,170.71,2563967
2026-01-19,170.0,170.0,163.12,165.83,7413735
2026-01-20,166.99,170.46,161.04,161.89,4931524
2026-01-21,161.89,166.6,161.21,165.31,7638837
2026-01-22,167.9,168.73,162.15,165.02,2573808
2026-01-23,166.5,168.02,158.6,159.88,3693739
2026-01-27,160.79,161.0,155.25,158.15,4100283
2026-01-28,158.5,161.8,156.86,160.09,3573271
2026-01-29,160.33,161.4,157.85,160.67,2608882
2026-01-30,160.21,172.5,157.87,170.85,8302127
2026-02-01,170.0,170.0,162.8,165.06,5258717
2026-02-02,165.45,169.0,164.3,168.5,4321588
2026-02-03,176.9,182.0,169.58,180.65,10363453
2026-02-04,181.0,185.4,179.0,184.56,5307766
2026-02-05,184.0,188.8,183.12,184.54,3762064
2026-02-06,183.0,183.89,177.51,179.97,3223568
2026-02-09,182.0,185.8,180.36,185.1,3374224
2026-02-10,185.1,186.72,181.01,181.97,2707542
2026-02-11,182.0,193.74,180.09,191.81,15270313
2026-02-12,191.8,192.67,187.1,188.27,6584472
2026-02-13,186.0,191.39,184.55,186.71,5220884
2026-02-16,185.0,187.55,183.55,184.8,2644888
2026-02-17,184.99,190.77,184.56,187.87,5083624
2026-02-18,189.0,192.37,182.44,185.46,7286990
2026-02-19,186.9,189.19,183.01,183.61,3105065
2026-02-20,183.64,185.1,181.4,182.83,2870372
2026-02-23,184.22,190.4,184.1,184.63,4080657
2026-02-24,184.05,184.75,181.8,183.34,4273427
2026-02-25,185.0,187.98,183.76,184.99,2167193
2026-02-26,185.99,186.0,181.01,185.39,4012535
2026-02-27,185.31,189.9,184.59,187.73,4898801
2026-03-02,179.0,188.4,179.0,187.7,9058805
2026-03-04,182.25,185.6,182.25,183.41,3647383
2026-03-05,186.0,188.68,184.4,187.62,2696672
2026-03-06,188.6,200.8,187.62,197.2,16921216
2026-03-09,195.0,196.49,188.37,193.13,8037109
2026-03-10,198.19,200.9,190.1,193.85,8730483
2026-03-11,194.85,197.5,191.4,192.35,5756984
2026-03-12,191.0,191.04,185.15,188.08,6098829
2026-03-13,187.0,187.7,175.7,176.72,5292708
2026-03-16,176.99,179.09,173.51,174.6,5280093
2026-03-17,176.0,177.9,173.55,176.94,5129463
2026-03-18,178.7,187.5,178.0,183.75,4985264
2026-03-19,181.0,185.61,176.14,177.27,6224311
2026-03-20,181.0,191.8,180.37,189.0,19170728
2026-03-23,186.0,187.0,181.05,183.17,5064805
2026-03-24,187.0,197.69,184.6,193.66,7676790
2026-03-25,196.0,200.4,194.05,194.77,5916971
2026-03-27,193.0,195.88,187.97,189.85,5507430
2026-03-30,186.96,191.74,184.62,185.99,2956902
2026-04-01,190.81,195.12,188.5,189.34,4113384
2026-04-02,187.4,191.44,184.21,190.78,3090030
2026-04-06,193.0,193.7,188.8,191.67,3250130
2026-04-07,190.4,191.15,188.98,190.1,2236668
2026-04-08,197.0,197.0,192.01,194.21,5574630
2026-04-09,194.75,204.4,193.39,202.23,10791867
2026-04-10,204.25,209.04,203.17,206.09,7578375
2026-04-13,201.0,207.8,199.24,204.42,5359567
2026-04-15,207.0,210.5,206.45,207.62,3561626
2026-04-16,209.0,212.9,207.5,208.9,4050345
2026-04-17,209.5,216.4,208.9,214.1,7059218
2026-04-20,215.49,226.3,211.65,222.18,9163952
2026-04-21,222.21,224.38,218.0,219.05,3713091
2026-04-22,217.9,223.98,217.21,222.13,3029035
2026-04-23,220.6,222.68,216.49,217.6,2310351
2026-04-24,218.04,219.85,209.8,212.76,3247199
2026-04-27,214.05,218.2,212.56,216.9,2291602
