date,open,high,low,close,volume
2025-09-02,7995.0,8115.0,7980.0,8027.5,11309
2025-09-03,8017.5,8115.0,7953.0,8098.0,9417
2025-09-04,8149.5,8169.0,7920.0,7945.0,12910
2025-09-05,8021.0,8021.0,7839.0,7860.5,12370
2025-09-08,7861.5,7910.5,7765.0,7777.5,15546
2025-09-09,7675.0,7680.0,7475.5,7503.0,1264985
2025-09-10,7551.0,7602.0,7490.0,7500.0,55415
2025-09-11,7512.0,7512.0,7106.0,7125.0,192948
2025-09-12,7168.0,7345.0,7140.0,7290.0,118392
2025-09-15,7290.0,7309.0,7175.0,7250.5,45958
2025-09-16,7298.0,7329.5,7255.5,7309.5,28227
2025-09-17,7308.0,7400.0,7290.0,7377.0,147379
2025-09-18,7398.0,7430.0,7330.0,7401.5,28913
2025-09-19,7376.0,7430.0,7305.5,7412.0,38958
2025-09-22,7375.5,7425.0,7338.5,7384.0,34411
2025-09-23,7348.0,7379.0,7158.5,7179.0,54564
2025-09-24,7150.0,7271.0,7121.0,7157.5,32802
2025-09-25,7193.0,7220.0,7095.5,7136.5,38974
2025-09-26,7141.0,7163.5,6952.0,6997.0,52159
2025-09-29,6996.0,7180.0,6944.0,7134.0,31783
2025-09-30,7135.0,7270.0,7077.0,7235.5,26639
2025-10-01,7235.0,7245.5,7171.0,7183.5,32704
2025-10-03,7235.0,7235.0,7159.0,7173.0,12092
2025-10-06,7179.5,7234.5,7111.0,7187.0,16076
2025-10-07,7187.0,7232.0,7150.0,7213.0,65964
2025-10-08,7200.5,7207.0,7112.0,7135.0,10270
2025-10-09,7145.0,7175.0,7060.0,7078.0,13161
2025-10-10,7148.5,7215.0,7080.0,7192.0,26521
2025-10-13,7101.0,7167.5,7084.0,7100.5,11039
2025-10-14,7103.0,7161.0,7000.0,7023.5,16061
2025-10-15,7079.0,7165.0,7038.5,7097.0,23643
2025-10-16,7112.0,7233.0,7112.0,7198.0,58553
2025-10-17,7198.0,7200.0,7090.0,7103.0,15228
2025-10-20,7170.5,7170.5,7100.0,7153.0,19946
2025-10-21,7220.0,7222.0,7185.0,7201.0,3601
2025-10-23,7230.5,7358.0,7216.0,7231.5,44010
2025-10-24,7285.0,7285.0,7135.0,7217.0,18201
2025-10-27,7252.0,7252.0,7140.0,7152.5,17628
2025-10-28,7150.5,7190.5,7085.0,7101.5,14082
2025-10-29,7101.5,7350.0,7042.0,7208.5,102160
2025-10-30,7284.0,7479.5,7222.0,7446.5,72972
2025-10-31,7456.0,7520.0,7353.5,7403.5,35229
2025-11-03,7429.0,7497.5,7325.0,7465.0,34381
2025-11-04,7460.0,7460.0,7311.5,7365.5,25713
2025-11-06,7400.0,7410.0,7060.0,7089.5,35138
2025-11-07,7056.0,7205.5,7000.5,7158.0,21208
2025-11-10,7197.0,8060.0,7197.0,7953.0,458276
2025-11-11,7895.5,8197.0,7889.5,8123.5,136566
2025-11-12,8125.0,8378.5,8093.5,8282.5,72853
2025-11-13,8280.5,8341.5,8209.5,8304.0,44486
2025-11-14,8300.0,8300.0,8033.5,8075.5,31768
2025-11-17,8156.0,8560.0,8100.5,8541.0,74779
2025-11-18,8497.5,8739.0,8402.0,8670.5,58144
2025-11-19,8670.5,8670.5,8351.0,8513.5,41801
2025-11-20,8549.0,8566.0,8230.0,8250.5,42356
2025-11-21,8270.0,8328.0,7971.0,8080.5,38495
2025-11-24,8099.5,8252.0,8002.0,8188.5,76696
2025-11-25,8170.0,8217.0,8014.0,8072.0,22957
2025-11-26,8148.0,8214.5,8025.0,8146.0,22014
2025-11-27,8200.0,8209.5,8049.0,8071.5,14520
2025-11-28,8172.5,8577.0,8131.0,8159.5,183464
2025-12-01,8241.5,8241.5,7861.0,7898.5,50777
2025-12-02,7943.0,8150.0,7875.0,7961.5,74943
2025-12-03,8001.5,8005.5,7835.0,7918.5,34304
2025-12-04,7922.0,8028.0,7805.0,8000.5,39399
2025-12-05,8000.5,8044.0,7840.0,7881.0,27118
2025-12-08,7960.0,7960.0,7652.5,7682.5,38014
2025-12-09,7600.0,8035.0,7549.5,7995.5,40893
2025-12-10,7995.5,8040.0,7878.5,7951.5,25151
2025-12-11,7952.0,8040.0,7870.0,7982.5,13593
2025-12-12,7995.0,8134.0,7995.0,8100.5,20101
2025-12-15,8085.0,8179.5,8030.0,8058.0,14382
2025-12-16,8058.0,8125.5,7948.0,7970.5,10932
2025-12-17,7950.5,7988.0,7812.0,7912.0,15356
2025-12-18,7879.5,7951.5,7803.0,7880.5,13788
2025-12-19,7860.0,8160.0,7860.0,8071.5,40829
2025-12-22,8071.5,8170.0,7920.0,7935.5,29045
2025-12-23,7930.0,7947.0,7860.0,7879.5,11548
2025-12-24,7918.5,7955.0,7854.5,7887.5,12757
2025-12-26,7801.0,7899.5,7760.0,7777.5,13581
2025-12-29,7795.0,7810.0,7650.0,7765.5,18184
2025-12-30,7800.0,7805.0,7524.0,7685.5,40996
2025-12-31,7700.0,7879.0,7676.5,7852.0,34891
2026-01-01,7880.0,7880.0,7745.0,7790.5,19024
2026-01-02,7790.5,7940.0,7677.0,7877.0,22419
2026-01-05,7818.5,7958.5,7770.0,7790.0,15073
2026-01-06,7790.0,7790.0,7612.0,7640.5,17107
2026-01-07,7612.0,7733.0,7581.0,7709.5,22852
2026-01-08,7720.0,7755.5,7550.0,7582.0,15311
2026-01-09,7575.0,7580.0,7237.0,7264.5,41280
2026-01-12,7264.5,7399.0,6975.5,7089.0,29800
2026-01-13,7125.5,7224.0,7035.5,7160.5,24107
2026-01-14,7160.5,7232.5,7115.0,7151.5,24935
2026-01-16,7150.0,7520.0,7077.0,7282.0,45503
2026-01-19,7190.5,7200.5,7060.0,7079.5,14649
2026-01-20,7086.5,7099.0,6875.0,6911.0,23961
2026-01-21,6914.5,6915.0,6756.0,6778.5,37303
2026-01-22,6825.0,7049.0,6825.0,6898.0,17604
2026-01-23,6900.0,6920.5,6805.0,6826.0,14709
2026-01-27,6826.0,6869.5,6666.0,6779.5,20139
2026-01-28,6790.0,7180.0,6790.0,7135.5,22590
2026-01-29,7265.0,7270.5,7140.0,7234.5,26442
2026-01-30,7249.0,7432.0,7175.0,7374.5,36084
2026-02-01,7410.0,7479.5,7210.0,7322.0,17936
2026-02-02,7285.5,7605.5,7256.5,7499.0,45982
2026-02-03,7740.5,7760.0,7475.0,7597.0,32589
2026-02-04,7687.0,7730.0,7545.5,7676.0,21997
2026-02-05,7670.0,8245.5,7531.0,7957.0,139783
2026-02-06,7973.5,8098.0,7854.5,7973.0,37687
2026-02-09,8003.0,8289.0,7994.0,8143.0,47889
2026-02-10,8165.0,8374.0,8120.0,8170.5,41648
2026-02-11,8163.5,8242.0,8065.0,8180.5,29284
2026-02-12,8152.0,8259.5,8140.0,8164.5,18207
2026-02-13,8108.0,8135.0,7921.0,7955.0,24998
2026-02-16,7900.0,8210.0,7836.0,8189.5,26725
2026-02-17,8189.5,8333.0,8141.0,8316.0,36282
2026-02-18,8354.0,8637.5,8320.0,8460.0,71297
2026-02-19,8539.0,8568.5,8200.0,8256.5,37074
2026-02-20,8250.5,8394.0,8162.5,8229.5,40423
2026-02-23,8305.0,8495.0,8262.0,8291.0,38061
2026-02-24,8275.5,8528.0,8247.5,8429.5,50341
2026-02-25,8519.0,8988.0,8467.0,8724.0,107938
2026-02-26,8738.0,9025.0,8730.0,9004.0,76402
2026-02-27,9050.0,9294.0,9019.5,9105.0,98680
2026-03-02,8540.0,9009.0,8540.0,8814.5,67394
2026-03-04,8638.5,8750.0,8460.5,8592.5,51639
2026-03-05,8596.0,8960.0,8596.0,8749.0,56727
2026-03-06,8752.0,8804.0,8580.5,8685.5,28601
2026-03-09,8450.0,8698.0,8375.0,8609.5,41742
2026-03-10,8701.0,8815.0,8523.0,8704.5,32253
2026-03-11,8706.0,8850.0,8490.5,8528.0,26254
2026-03-12,8370.0,8779.0,8368.0,8736.0,42776
2026-03-13,8700.0,8700.0,8420.5,8505.0,46287
2026-03-16,8553.0,8553.0,8179.0,8372.5,34682
2026-03-17,8397.0,8591.0,8310.5,8503.0,18061
2026-03-18,8500.0,8802.0,8460.0,8725.0,20596
2026-03-19,8535.5,8678.0,8362.0,8411.5,16699
2026-03-20,8456.0,8670.0,8456.0,8604.5,21269
2026-03-23,8501.0,8521.0,8221.0,8301.0,31771
2026-03-24,8520.0,8530.0,8357.0,8443.0,18032
2026-03-25,8500.0,8730.0,8480.0,8582.0,16230
2026-03-27,8482.0,8520.0,8203.0,8439.0,37286
2026-03-30,8400.0,8730.0,8252.0,8685.5,54894
2026-04-01,8919.5,9120.0,8800.0,9055.0,48315
2026-04-02,8880.0,9190.0,8802.0,9170.5,32739
2026-04-06,9244.0,9399.5,8955.5,8992.5,43584
2026-04-07,8979.0,9049.5,8890.0,8981.5,17564
2026-04-08,9380.0,9380.0,9021.5,9133.0,31340
2026-04-09,9133.5,9249.5,9000.0,9078.5,25089
2026-04-10,9055.0,9581.0,9048.0,9311.5,78960
2026-04-13,9120.0,9550.0,9091.0,9463.0,82817
2026-04-15,9650.0,9746.0,9500.0,9530.0,49553
2026-04-16,9614.0,9995.0,9581.5,9850.0,124310
2026-04-17,9960.0,10210.0,9919.0,10145.0,78428
2026-04-20,10205.0,10599.5,10188.0,10307.0,121196
2026-04-21,10307.0,10760.0,10260.5,10524.5,73611
2026-04-22,10589.0,11168.0,10510.0,11051.0,127182
2026-04-23,11100.0,11295.0,10825.0,10884.5,79074
2026-04-24,10888.0,11271.0,10551.0,10768.5,106529
