Date,Open,High,Low,Close,Volume
2025-12-23,25710.0,26150.0,25600.0,25940.0,46538
2025-12-24,25945.0,26190.0,25850.0,26145.0,18508
2025-12-26,26140.0,26490.0,26070.0,26420.0,46123
2025-12-29,26450.0,26450.0,26170.0,26275.0,57381
2025-12-30,26275.0,26405.0,26090.0,26340.0,137300
2025-12-31,26400.0,26635.0,26270.0,26575.0,24906
2026-01-01,26600.0,26865.0,26425.0,26835.0,9497
2026-01-02,26775.0,27095.0,26705.0,27045.0,36285
2026-01-05,27070.0,27690.0,27070.0,27645.0,23089
2026-01-06,27670.0,28090.0,27545.0,27670.0,35574
2026-01-07,27560.0,27665.0,27205.0,27320.0,22391
2026-01-08,27330.0,27360.0,26780.0,26850.0,17963
2026-01-09,26850.0,27085.0,26670.0,26950.0,33316
2026-01-12,26965.0,27245.0,26685.0,27165.0,22728
2026-01-13,27180.0,27400.0,26920.0,27155.0,16064
2026-01-14,26945.0,27670.0,26930.0,27550.0,37405
2026-01-15,27550.0,27550.0,27550.0,27550.0,0
2026-01-16,27550.0,27900.0,27370.0,27840.0,32929
2026-01-19,27610.0,27980.0,27445.0,27510.0,10707
2026-01-20,27500.0,27915.0,27095.0,27225.0,42671
2026-01-21,27225.0,27450.0,26990.0,27370.0,25027
2026-01-22,27500.0,27715.0,27330.0,27430.0,14663
2026-01-23,27455.0,27555.0,26935.0,27000.0,24439
2026-01-27,27200.0,27720.0,27040.0,27220.0,32223
2026-01-28,27200.0,27550.0,27045.0,27480.0,18343
2026-01-29,27500.0,27500.0,26865.0,27055.0,28182
2026-01-30,27055.0,27200.0,26805.0,26985.0,42402
2026-02-02,26385.0,26850.0,26110.0,26800.0,42072
2026-02-03,27200.0,27435.0,26780.0,27020.0,51933
2026-02-04,27080.0,27525.0,26905.0,27350.0,25807
2026-02-05,27460.0,27545.0,27100.0,27225.0,38447
2026-02-06,27270.0,27430.0,27040.0,27330.0,14772
2026-02-09,26685.0,27260.0,26435.0,27145.0,74200
2026-02-10,27070.0,27090.0,26450.0,26525.0,38471
2026-02-11,26600.0,26850.0,26365.0,26805.0,25422
2026-02-12,26750.0,26800.0,26280.0,26340.0,28166
2026-02-13,26090.0,26255.0,25750.0,26130.0,27809
2026-02-16,25940.0,26375.0,25915.0,26315.0,11713
2026-02-17,26200.0,26440.0,26125.0,26370.0,12987
2026-02-18,26495.0,26780.0,26335.0,26635.0,24271
2026-02-19,26780.0,27150.0,26110.0,26215.0,32451
2026-02-20,26250.0,26700.0,25965.0,26510.0,16060
2026-02-23,26520.0,27045.0,26365.0,26550.0,24261
2026-02-24,26460.0,26790.0,26270.0,26525.0,28322
2026-02-25,26400.0,26980.0,26400.0,26865.0,16889
2026-02-26,26865.0,27020.0,26605.0,26745.0,12433
2026-02-27,26850.0,26865.0,25965.0,26075.0,45243
2026-03-02,25200.0,26215.0,25185.0,26125.0,28282
2026-03-04,25865.0,25865.0,24955.0,25355.0,37304
2026-03-05,25355.0,25520.0,24760.0,25200.0,37079
2026-03-06,25150.0,25275.0,24825.0,24875.0,19762
2026-03-09,24600.0,24600.0,23520.0,23590.0,37789
2026-03-10,23925.0,24245.0,23850.0,23960.0,69919
2026-03-11,24130.0,24130.0,23695.0,23740.0,44506
2026-03-12,23740.0,23740.0,23315.0,23500.0,40125
2026-03-13,23500.0,23505.0,22855.0,22965.0,48594
2026-03-16,22970.0,23470.0,22945.0,23315.0,43173
2026-03-17,23395.0,23780.0,23170.0,23675.0,15748
2026-03-18,23910.0,24000.0,23705.0,23925.0,16992
2026-03-19,23410.0,23645.0,23125.0,23335.0,20065
2026-03-20,23405.0,23710.0,23360.0,23535.0,29852
2026-03-23,23495.0,23495.0,22550.0,22725.0,36958
2026-03-24,23085.0,23475.0,22615.0,23325.0,39516
2026-03-25,23500.0,24355.0,23445.0,24230.0,19081
2026-03-27,24220.0,24220.0,23565.0,23705.0,52525
2026-03-30,23365.0,23625.0,22955.0,23020.0,81205
2026-04-01,23490.0,23510.0,23080.0,23265.0,19991
2026-04-02,22955.0,23265.0,22675.0,23125.0,20490
2026-04-06,23460.0,24015.0,22980.0,23695.0,31374
2026-04-07,23390.0,23525.0,23140.0,23350.0,57843
2026-04-08,24200.0,24700.0,23895.0,24360.0,31556
2026-04-09,24200.0,24320.0,23665.0,23990.0,103272
2026-04-10,23990.0,24495.0,23940.0,24340.0,75983
2026-04-13,23940.0,24395.0,23600.0,24300.0,24038
2026-04-15,24700.0,25150.0,24545.0,24965.0,82224
2026-04-16,25200.0,25275.0,24830.0,25110.0,34710
2026-04-17,25110.0,25325.0,25055.0,25290.0,16254
2026-04-20,25300.0,25520.0,25050.0,25490.0,35020
2026-04-21,25420.0,25890.0,25230.0,25540.0,8307
2026-04-22,25590.0,25800.0,25455.0,25735.0,11486
2026-04-23,25605.0,25850.0,25125.0,25470.0,15269
2026-04-24,25470.0,25550.0,24815.0,24950.0,11419
2026-04-27,25070.0,25465.0,25020.0,25125.0,35881
2026-04-28,25200.0,25230.0,24680.0,24890.0,29328
